label,label_name,comment,parent_comment,rephrased_comment,cognitive_explanation,intent_based_explanation,contrastive_explanation,textual_explanation,rule_based_explanation
1,sarcastic,She was just makin sure you didnt get kidnapped like the movie *taken*,"I had a similar situation like this. I was at work from 10 am - 8 pm and my phone died in the middle of my shift. Next thing you know my girl pop up at work so I'm like ""what's up bae?"" Come to find out she came to see if I was at work even though she saw my car outside. She try and hit me with ""I wanted to make sure you didn't get in someone else's car and go somewhere""","She was making sure you didn't get kidnapped, like in the movie ""Taken.""","The speaker is being sarcastic by suggesting that the person was overly cautious or paranoid about the possibility of being kidnapped, similar to the extreme circumstances depicted in the movie ""Taken.""","The speaker is implying that the person was being overly cautious and exaggerating the risk of being kidnapped, likely poking fun at their paranoia. The speaker may be trying to downplay the situation or make light of it to ease any tension. The listener needs to understand the reference to the movie ""Taken"" to grasp the sarcasm.","The sarcastic comment implies that the speaker does not genuinely believe the person was trying to prevent a kidnapping like in the movie *Taken*. It is likely that the speaker is downplaying or mocking the seriousness of the situation. 

A sincere version would express genuine concern for the person's safety and well-being, without any hint of sarcasm or mockery.","The sarcasm in this comment is that the speaker is exaggerating the situation by comparing it to the movie *Taken*, where the character's daughter is actually kidnapped. The implication is that the person being watched over was not actually in any real danger, making the comparison over-the-top and ironic.","The sarcasm in this comment is conveyed through the exaggerated comparison to a dramatic movie scenario. The use of the phrase ""just making sure"" in a casual tone also indicates sarcasm."
1,sarcastic,"yeah, like the president is a big deal!",And even a prominent democrat defended him.,The president is a person of great importance and significance.,"The sarcasm in the original comment comes from the speaker's belief that the president is indeed a big deal, but they are expressing it in a dismissive or mocking way.","The speaker is expressing a belief that the president is indeed a significant figure, but their sarcastic comment is meant to downplay the importance of the position. The speaker may be trying to mock someone who minimizes the impact or power of the president. The listener needs to understand the common knowledge that the president holds a position of authority and influence to grasp the sarcasm.","The sarcastic comment is mocking the idea that the president is not important or influential, when in reality the president holds a significant amount of power and responsibility. A sincere version would likely express admiration or acknowledgment of the president's importance and impact.","The sarcasm in this comment is clear because the speaker is downplaying the importance of the president, which is obviously a significant and powerful position. By stating ""like the president is a big deal,"" the speaker is being dismissive and implying that the president is not important or influential, which is a contradictory and exaggerated statement.","The sarcastic tone in the original comment is conveyed through the use of the word ""like"" and the exclamation point, which suggest insincerity or disbelief."
1,sarcastic,Like sooooo yesterday,Muslim Barry... oy vey.,That was from yesterday.,The speaker is implying that the topic or reference being discussed is outdated or uninteresting.,"The speaker is mocking something as outdated or uncool, implying that it is no longer relevant or interesting. They may be trying to appear more current or trendy themselves. The listener needs to understand the speaker's sarcastic tone and the cultural context to grasp that they are making fun of something perceived as old-fashioned.","The sarcastic comment ""Like sooooo yesterday"" is meant to mock or dismiss something as outdated or uncool. The exaggerated use of ""sooooo"" adds a tone of exaggeration and insincerity. In contrast, a sincere version of the comment would simply state that something is outdated without the added sarcasm or exaggerated tone.","The sarcasm in this comment is evident in the exaggerated use of ""sooooo"" and the word ""yesterday."" The speaker is mocking the idea that something is outdated or no longer relevant by emphasizing how ""yesterday"" it is in a sarcastic manner. The use of excessive vowels in ""sooooo"" adds to the insincerity and mocking tone of the comment.","The exaggerated use of ""sooooo"" and the dismissive tone indicate sarcasm in the original comment."
1,sarcastic,That was the NJPW contingent,Shit AJ was getting chants during other people's matches,"""Those were the wrestlers from New Japan Pro Wrestling.""",The speaker is being sarcastic because they are implying that the wrestlers from New Japan Pro Wrestling are easily recognizable or have a certain reputation.,"The speaker most likely believes that the NJPW contingent is not what they were claimed to be, possibly implying they were disappointing or underwhelming. The speaker may be attempting to mock or belittle the NJPW contingent in a humorous way. The listener needs to understand the context or reputation of the NJPW contingent to fully grasp the sarcasm.","The sarcastic tone of the comment is conveyed through the use of ""That was the NJPW contingent,"" implying that the NJPW contingent is known for something negative or undesirable. In a sincere version, the comment would simply state the presence of the NJPW contingent without any underlying criticism or sarcasm.","The sarcasm in this comment lies in the implication that the NJPW contingent was not actually impressive or significant, despite possibly being portrayed as such. This is likely done to downplay their importance or impact.",The sarcasm in this comment comes from the lack of enthusiasm or respect in the tone of the speaker when mentioning the NJPW wrestlers.
A sincere version of this statement would be more earnest and respectful, acknowledging the significance of one's mindset in a genuine way. It might sound something like, ""Having a positive mindset can truly make a difference in how we approach challenges.""","The sarcasm in this comment lies in the dismissive and flippant way in which the speaker refers to ""it"" as simply a ""state of mind,"" implying that the concept being discussed is trivial or insignificant. This sarcastic tone is conveyed through the lack of seriousness and depth in the statement, suggesting that the speaker is belittling the idea.","The sarcasm in this comment is conveyed through the tone of dismissal or belittlement towards the idea of a state of mind, implying that it is insignificant or trivial."
0,non_sarcastic,I just wonder sometimes just how much Laimbeer would be hated on r/nba.,"Hate myself for loving this team so much. I just can't help but love the bad guys, that's how I was raised. :')",,,,,,
0,non_sarcastic,Free weekend happened.,"What happened to the community? :'( Hey everyone! I just decided to start playing this game again after other things (life, other games) took over. I was really excited because I remembered the community around the launch of Early Access to be nice, communicative, and overall helpful. The game felt fun. I used to play a lot of MOBAs, and this was a breath of fresh air. In the four games today (Christmas, of all days) I've had three teammates tell me that I'm ""absolute shit"" and to go ""kill myself"". What happened to this community? It feels like a MOBA community (not quite as bad as LoL, but it's starting to have a familiar feel to me) more than it used to feel just like a bunch of people trying to compete yet still enjoying the competition, even if someone is having a bad game. It makes me hesitant to keep at it, and I was excited about getting back into it. :'(",,,,,,
0,non_sarcastic,According to the official Chelsea website there is.,"No, those reports were false.",,,,,,
0,non_sarcastic,If gamboa works out I doubt he'll be back.,So he won't be playing for the Auld Firm? Shame,,,,,,
0,non_sarcastic,Is your dad a cat?,"My dad sleeps 16 hours a day and is in his pajamas until 5 p.m., after which he changes into another pair of pajamas.",,,,,,
